English_Na,Enw_Cymrae,,No_Rhif,Segment,q,r,name,id,MS,Party
Pen-y-bont Bro Morgannwg,Pen-y-bont Bro Morgannwg,,16,3,5,2,Pen-y-bont Bro Morgannwg,16_3,,
Pen-y-bont Bro Morgannwg,Pen-y-bont Bro Morgannwg,,16,4,5,1,Pen-y-bont Bro Morgannwg,16_4,,
Pen-y-bont Bro Morgannwg,Pen-y-bont Bro Morgannwg,,16,5,6,2,Pen-y-bont Bro Morgannwg,16_5,,
Pen-y-bont Bro Morgannwg,Pen-y-bont Bro Morgannwg,,16,6,6,1,Pen-y-bont Bro Morgannwg,16_6,,
Pontypridd Cynon Merthyr,Pontypridd Cynon Merthyr,,10,1,7,6,Pontypridd Cynon Merthyr,10_1,,
Pontypridd Cynon Merthyr,Pontypridd Cynon Merthyr,,10,2,6,5,Pontypridd Cynon Merthyr,10_2,,
Pontypridd Cynon Merthyr,Pontypridd Cynon Merthyr,,10,3,7,5,Pontypridd Cynon Merthyr,10_3,,
Pontypridd Cynon Merthyr,Pontypridd Cynon Merthyr,,10,4,6,4,Pontypridd Cynon Merthyr,10_4,,
Pontypridd Cynon Merthyr,Pontypridd Cynon Merthyr,,10,5,7,4,Pontypridd Cynon Merthyr,10_5,,
Pontypridd Cynon Merthyr,Pontypridd Cynon Merthyr,,10,6,6,3,Pontypridd Cynon Merthyr,10_6,,
Sir Fynwy Torfaen,Sir Fynwy Torfaen,,12,1,10,8,Sir Fynwy Torfaen,12_1,,
Sir Fynwy Torfaen,Sir Fynwy Torfaen,,12,2,9,7,Sir Fynwy Torfaen,12_2,,
Sir Fynwy Torfaen,Sir Fynwy Torfaen,,12,3,10,7,Sir Fynwy Torfaen,12_3,,
Sir Fynwy Torfaen,Sir Fynwy Torfaen,,12,4,10,6,Sir Fynwy Torfaen,12_4,,
Sir Fynwy Torfaen,Sir Fynwy Torfaen,,12,5,11,6,Sir Fynwy Torfaen,12_5,,
Sir Fynwy Torfaen,Sir Fynwy Torfaen,,12,6,10,5,Sir Fynwy Torfaen,12_6,,
Sir Gaerfyrddin,Sir Gaerfyrddin,,6,1,3,7,Sir Gaerfyrddin,6_1,,
Sir Gaerfyrddin,Sir Gaerfyrddin,,6,2,4,7,Sir Gaerfyrddin,6_2,,
Sir Gaerfyrddin,Sir Gaerfyrddin,,6,3,5,7,Sir Gaerfyrddin,6_3,,
Sir Gaerfyrddin,Sir Gaerfyrddin,,6,4,3,6,Sir Gaerfyrddin,6_4,,
Sir Gaerfyrddin,Sir Gaerfyrddin,,6,5,4,6,Sir Gaerfyrddin,6_5,,
Sir Gaerfyrddin,Sir Gaerfyrddin,,6,6,5,6,Sir Gaerfyrddin,6_6,,
